# NASA POWER daily point,lat=-2.5547,lon=120.3242,grid_elev_m=658.23,period=19960101-20260131
DATE,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,WS10M_MAX,WS2M,PS
19960423,0.97,4.0154,-999.0,3.6816,-999.0,22.86,25.47,20.75,88.41,1.68,2.74,1.04,93.77
19960424,86.33,4.5031,-999.0,3.984,-999.0,23.0,25.16,21.42,90.86,1.39,2.42,0.86,93.72
19960425,44.26,4.6661,-999.0,2.9952,-999.0,22.64,23.98,21.71,95.47,1.88,2.65,1.13,93.7
19960426,9.22,4.2202,-999.0,4.0104,-999.0,23.05,25.13,21.7,91.7,1.54,1.74,0.96,93.75
19960427,0.97,5.238,-999.0,4.176,-999.0,23.51,25.99,22.01,90.24,1.67,2.04,1.06,93.7
19960428,0.91,4.6375,-999.0,3.9792,-999.0,23.26,25.46,21.8,89.33,1.84,2.77,1.15,93.62
19960429,48.92,5.9777,-999.0,2.604,-999.0,24.03,26.96,21.98,85.41,1.17,2.28,0.77,93.56
19960430,28.02,4.559,-999.0,4.2888,-999.0,23.61,25.97,21.44,90.13,1.4,2.44,0.85,93.53
19960501,10.35,5.3582,-999.0,4.044,-999.0,23.39,25.07,22.64,93.04,1.2,1.69,0.73,93.58
19960502,13.19,4.2247,-999.0,3.9312,-999.0,23.32,25.38,21.84,92.85,1.07,1.52,0.66,93.66
19960503,2.78,4.525,-999.0,4.0872,-999.0,22.94,24.52,21.89,95.1,1.77,2.39,1.08,93.77
19960504,1.85,4.8175,-999.0,4.2216,-999.0,23.22,25.18,21.71,92.73,1.85,2.63,1.12,93.76
19960505,33.67,4.8034,-999.0,3.828,-999.0,22.33,23.63,21.61,93.71,1.71,2.66,1.05,93.77
19960506,22.26,4.3061,-999.0,4.0296,-999.0,22.44,23.66,21.49,94.44,1.54,2.41,0.98,93.86
19960507,30.18,5.3062,-999.0,3.5232,-999.0,23.54,26.64,21.94,90.55,1.34,1.86,0.87,93.87
19960508,16.27,4.4174,-999.0,3.936,-999.0,22.48,24.0,21.33,92.99,1.81,2.49,1.09,93.9
19960509,0.66,5.4331,-999.0,3.4992,-999.0,23.49,26.85,21.15,88.3,1.52,2.26,0.97,93.86
19960510,0.31,5.4614,-999.0,3.1464,-999.0,23.26,26.01,21.37,89.89,1.58,1.99,0.99,93.89
19960511,8.78,4.211,-999.0,3.8376,-999.0,22.89,24.41,21.79,93.46,2.13,3.24,1.3,93.96
19960512,21.47,4.8612,-999.0,3.8976,-999.0,23.01,25.92,20.99,91.47,2.04,2.77,1.25,93.96
19960513,4.48,5.6194,-999.0,2.7672,-999.0,22.71,25.33,21.27,90.01,1.72,2.73,1.06,93.85
19960514,0.0,6.312,-999.0,1.716,-999.0,23.26,26.01,21.15,86.91,1.6,2.29,1.03,93.75
19960515,4.48,6.391,-999.0,2.0424,-999.0,23.54,25.64,21.97,89.23,2.1,2.93,1.32,93.82
19960516,1.26,5.1665,-999.0,3.2784,-999.0,23.69,25.97,22.1,90.04,1.71,2.6,1.04,93.94
19960517,0.27,5.4343,-999.0,3.4056,-999.0,23.54,26.52,21.7,87.76,1.82,2.89,1.16,93.88
19960518,0.2,5.3688,-999.0,3.408,-999.0,22.97,25.23,20.86,88.93,1.45,2.96,0.9,93.74
19960519,5.6,5.7523,-999.0,2.7864,-999.0,23.37,25.88,21.22,89.17,1.31,2.17,0.84,93.7
19960520,5.5,5.2073,-999.0,3.7584,-999.0,23.36,25.25,22.12,91.83,1.16,1.6,0.73,93.82
