# NASA POWER daily point,lat=-0.79355,lon=100.28917,grid_elev_m=81.29,period=19960101-20260131
DATE,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,WS10M_MAX,WS2M,PS
19960727,4.4,4.9574,-999.0,3.9168,-999.0,26.18,26.4,25.92,81.47,1.58,2.34,1.4,100.14
19960728,2.93,5.1506,-999.0,4.4664,-999.0,26.6,27.31,25.74,82.77,2.68,4.7,2.35,99.99
19960729,1.29,5.3498,-999.0,3.7344,-999.0,26.77,27.18,26.38,83.87,3.22,4.7,2.81,100.0
19960730,5.19,4.7575,-999.0,3.6576,-999.0,26.75,26.93,26.49,83.6,3.73,4.26,3.24,100.08
19960731,9.21,4.103,-999.0,3.7368,-999.0,26.96,27.26,26.62,82.09,4.81,5.26,4.15,100.13
19960801,0.1,5.3482,-999.0,3.4416,-999.0,27.28,27.72,26.61,77.58,4.46,5.11,3.85,100.21
19960802,0.46,4.9769,-999.0,3.708,-999.0,27.43,28.23,26.46,78.2,3.75,4.59,3.26,100.15
19960803,2.87,2.5517,-999.0,2.016,-999.0,26.67,27.19,26.06,81.54,3.03,4.33,2.65,100.19
19960804,0.86,5.742,-999.0,3.1824,-999.0,27.22,27.97,26.4,75.95,1.79,2.53,1.56,100.12
19960805,2.92,4.8576,-999.0,3.444,-999.0,27.41,28.01,26.71,79.49,3.18,3.96,2.8,100.06
19960806,6.76,5.0374,-999.0,4.3608,-999.0,27.36,27.74,26.97,79.54,2.7,4.1,2.37,100.13
19960807,8.17,4.3682,-999.0,3.2136,-999.0,27.01,27.31,26.72,82.44,3.98,5.46,3.45,100.1
19960808,6.57,2.9851,-999.0,3.1368,-999.0,26.98,27.58,26.33,79.96,3.05,4.67,2.64,100.07
19960809,14.39,3.2179,-999.0,2.7288,-999.0,26.28,26.7,25.74,83.01,2.23,3.35,1.95,100.04
